method,operating_point,stable,psi_r_rel_pct,is_rms_a,psi_r_conv_time_ms,is_conv_time_ms
D1_kubota_k1p2_t_type,5000rpm_+220Nm,True,4.771541824337247e-08,7.715533036762534e-07,18.22,33.73
C_sled23_t_type,5000rpm_+220Nm,True,1.0249811212954308e-12,6.3106436161815845e-12,6.55,9.69
A_four_pole_sylvester,5000rpm_+220Nm,True,6.516353719725662e-13,1.1713947778171886e-12,2.75,3.6399999999999997
B_hori53_paper,5000rpm_+220Nm,True,2.347101460318288e-13,5.684341886080802e-14,1.7799999999999998,0.0
D1_kubota_k1p2_t_type,5000rpm_-220Nm,True,0.0006965876225722642,0.04438337629798793,34.05,71.61999999999999
C_sled23_t_type,5000rpm_-220Nm,True,9.09670745149695e-13,6.366716672615968e-12,6.259999999999999,9.43
A_four_pole_sylvester,5000rpm_-220Nm,True,5.337972930973046e-13,8.512517372697824e-13,2.8199999999999994,3.71
B_hori53_paper,5000rpm_-220Nm,True,1.9513390852718e-13,2.2737367544323206e-13,1.7799999999999998,0.0
D1_kubota_k1p2_t_type,1000rpm_-220Nm,True,3.0534043179152332e-06,0.0001544301479449422,26.29,46.949999999999996
C_sled23_t_type,1000rpm_-220Nm,True,1.5829376930315373e-06,5.216394996101825e-06,18.05,25.58
A_four_pole_sylvester,1000rpm_-220Nm,True,1.7416684535015675e-12,2.45348586258117e-13,3.4999999999999996,3.6499999999999995
B_hori53_paper,1000rpm_-220Nm,True,1.820736493413283e-13,2.3437142008433856e-13,1.7799999999999998,0.0
